"","Carbón","Motores diésel","Turbina de gas","Ciclo combinado","Solar fotovoltaica","Cogeneración","Residuos no renovables","Residuos renovables","Generación total"
"1",182299.427,58812.649,30802.12,36854.98,7273.131,2387.685,8621.6265,8621.6265,336432.458
"2",172762.741,52746.378,33286.273,51128.17,7403.831,2252.451,6081.7205,6081.7205,332464.337
"3",186533.31,52141.274,32332.702,38342.601,11493.687,2108.623,8029.718,8029.718,339852.945
"4",175475.452,54645.459,25451.57,25038.955,11208.863,487.962,7700.8215,7700.8215,308355.552
"5",187896.412,67039.77,32308.272,37992.789,12639.329,2621.27,8209.6945,8209.6945,357356.462
"6",200606.942,70135.246,39630.894,15434.568,13817.142,2600.683,11852.555,11852.555,366321.34
"7",246666.415,92157.515,61583.018,35278.08,14315.853,3228.567,10855.8735,10855.8735,475152.5
"8",248251.673,88922.61,68501.819,29391.772,12862.862,2845.348,11387.2975,11387.2975,473905.94
"9",229416.734,66613.638,57750.919,3171.398,10744.505,2168.719,14086.389,14086.389,398388.112
"10",169654.499,49664.212,51097.556,53300.551,8780.527,826.85,9534.9835,9534.9835,352935.872
"11",168250.633,37936.91,43384.515,34943.772,5601.847,1776.366,7910.633,7910.633,308547.739
"12",182826.166,54606.176,38209.33,46453.092,5971.275,2416.298,8795.2825,8795.2825,348650.725
"13",183089.327,57672.186,28626.27,32275.425,5827.915,2086.281,7939.653,7939.653,326166.438
"14",150082.495,54580.672,24741.792,44289.522,8461.308,1683.588,6507.445,6507.445,297660.735
"15",160255.575,38102.189,43267.237,51621.898,11097.609,1810.603,9425.1545,9425.1545,325982.555
"16",174012.561,37100.252,44385.816,15257.42,12721.366,758.587,11604.4115,11604.4115,308084.848
"17",194495.332,51171.797,47011.785,32884.425,12506.914,1364.86,5269.725,5269.725,350745.349
"18",206570.047,60444.23,58179.416,15844.592,13246.777,1651.108,13186.8355,13186.8355,382818.956
"19",234612.764,71924.772,76120.493,17515.225,13532.742,2628.247,14742.679,14742.679,446262.096
"20",238509.243,79769.32,79659.34,26367.671,12554.948,2446.642,11272.941,11272.941,462276.032
"21",227702.616,71195.055,66582.156,15843.344,10351.79,2744.18,13986.786,13986.786,422721.208
"22",156195.431,50579.815,52353.144,52801.557,10335.922,2059.943,14349.8485,14349.8485,353529.15
"23",86828.516,50997.472,28059.97,81995.647,6491.343,2685.139,8560.699,8560.699,274916.887
"24",175423.819,50939.894,36400.463,32936.394,5637.055,3303.406,11238.1515,11238.1515,328054.297
"25",180751.809,56110.774,36805.256,36581.086,6878.955,3153.758,9163.4615,9163.4615,339440.148
"26",171709.132,54025.309,32863.889,37659.309,7212.557,2526.708,6908.54,6908.54,320680.371
"27",173706.216,50910.869,38483.677,37861.843,10110.063,2771.268,11394.0975,11394.0975,337375.876
"28",70165.726,53098.839,32205.506,110842.199,12578.182,1697.26,13639.012,13639.012,308521.928
"29",127697.278,63412.131,43845.551,103123.135,13498.137,2205.106,14790.13,14790.13,384171.014
"30",185477.353,64869.766,59050.26,47833.333,13443.677,1133.425,13704.3935,13704.3935,399568.814
"31",218839.822,96085.763,77660.773,79004.589,13857.289,2921.51,12852.9485,12852.9485,514566.042
"32",250939.772,87348.537,80914.687,26112.074,12160.059,2816.046,12487.333,12487.333,485605.55
"33",199151.618,69685.022,58314.546,34689.562,9666.642,2463.793,14777.1275,14777.1275,404153.795
"34",82335.692,52580.067,47951.209,122764.639,8931.639,3139.955,14664.409,14664.409,347718.242
"35",101806.757,37650.926,41220.204,75613.285,8007.314,3259.564,14317.8935,14317.8935,296756.955
"36",99101.912,49784.458,37273.741,92601.932,6275.289,3461.334,12398.3835,12398.3835,313617.864
"37",114409.217,37783.989,48057.168,92204.111,7081.305,3301.81,8564.515,8564.515,320673.021
"38",99651.174,63209.024,19893.371,107882.426,7539.546,3209.834,4967.8255,4967.8255,312146.812
"39",105038.23,77387.698,13341.967,109644.801,10661.868,3099.304,8611.856,8611.856,337281.546
"40",151496.329,75097.446,9026.849,51199.06,11177.264,3052.671,12109.9035,12109.9035,326087.602
"41",197176.087,87380.182,18357.424,18602.155,12590.581,2121.363,14510.119,14510.119,365860.347
"42",225485.701,93717.243,33146.463,12211.345,13167.569,3355.238,13617.076,13617.076,408588.911
"43",286133.931,110193.939,46712.446,14742.101,13847.847,2924.667,11266.3585,11266.3585,497594.52
"44",265479.108,110639.637,55467.749,24200.125,13337.502,2931.331,12685.0265,12685.0265,497946.657
"45",256765.626,94422.302,43668.214,26581.525,10357.047,2901.415,12613.608,12613.608,460178.678
"46",224344.495,89001.944,18319.132,16362.104,8447.793,2744.01,13662.5315,13662.5315,386929.834
"47",180604.461,62148.235,20382.307,34637.994,6551.461,2387.464,9270.8955,9270.8955,325794.625
"48",196283.612,70372,13385.175,26814.348,5747.747,2672.21,8925.3515,8925.3515,333524.17
"49",221058.173,84274.308,13229.322,37633.499,5799.134,3018.215,7544.1635,7544.1635,380728.997
"50",189456.399,70860.632,10726.194,34837.552,7159.338,3106.099,7222.1915,7222.1915,331043.389
"51",177467.581,62289.886,22296.851,31438.682,12164.482,3515.159,10517.7625,10517.7625,330539.784
"52",189508.45,72688.244,14186.651,37314.464,12625.004,1998.957,14685.7725,14685.7725,358130.011
"53",224056.827,89180.728,29491.836,26062.644,13622.494,2017.168,11209.7905,11209.7905,407202.432
"54",268948.2,98311.834,39728.294,12581.072,13314.391,2776.925,14046.6855,14046.6855,464048.52
"55",273077.908,109786.349,59674.911,35234.932,13296.241,3059.204,14055.7905,14055.7905,522492.396
"56",263831.972,92555.014,82505.828,56051.79,12456.52,3488.091,14325.673,14325.673,539785.507
"57",237417.127,44498.153,82010.566,12832.513,10365.357,3215.986,15026.625,15026.625,420663.303
"58",196316.934,28513.249,75211.866,40379.856,9718.946,3349.613,13982.9895,13982.9895,381757.137
"59",152281.554,24992.987,62358.717,60508.706,7258.256,3098.652,11279.2275,11279.2275,333527.253
"60",204110.712,32782.641,65103.538,35553.646,5556.832,3600.165,9981.9965,9981.9965,367190.645
"61",198555.029,35080.182,59852.256,31200.264,7044.5,3182.987,7481.4245,7481.4245,350350.07
"62",192794.934,38969.616,59882.575,48135.34,5338.09,3083.654,4455.9545,4455.9545,357606.37
"63",199821.57,35928.452,61051.561,39439.262,10207.919,2294.685,11199.8515,11199.8515,371733.241
"64",183056.221,37207.235,57191.896,48047.037,11477.546,1982.166,10486.7385,10486.7385,360349.029
"65",187115.884,51538.112,66096.778,45724.514,11852.795,2578.575,10524.592,10524.592,386312.415
"66",207644.055,60830.056,77051.413,36753.745,12390.93,3357.242,14709.1545,14709.1545,427694.46
"67",242068.479,86045.093,95847.726,53754.595,13412.572,3565.564,14429.119,14429.119,523749.333
"68",257313.11,94721.89,91166.569,62510.635,11599.54,3515.458,14961.3625,14961.3625,550998.987
"69",250630.395,74345.322,75102.128,31103.935,9309.264,2436.55,13453.5695,13453.5695,470052.079
"70",186964.578,58059.521,54458.813,45569.164,8049.904,2571.509,13897.6735,13897.6735,384149.564
"71",108227.965,42036.839,47932.189,109560.933,6032.656,3145.667,7033.376,7033.376,331627.163
"72",181578.711,32932.13,19365.111,38723.094,6767.824,3260.389,13124.9285,13124.9285,309427.442
"73",217725.286,35212.248,22524.488,34412.136,7290.851,3341.547,9560.5395,9560.5395,340540.705
"74",164402.371,26576.927,22600.86,55402.149,9353.207,3483.536,6860.0295,6860.0295,296120.784
"75",141747.391,16635.785,34548.491,83928.335,11382.342,3267.457,11083.6625,11083.6625,314490.857
"76",127063.555,30202.653,30171.47,93323.053,10659.026,2915.318,13456.3305,13456.3305,321977.139
"77",122296.505,38390.11,27505.562,103560.644,12928.163,2285.751,13087.209,13087.209,333849.074
"78",98710.671,51238.82,38491.147,148873.866,13313.484,2300.35,13341.946,13341.946,380087.6
"79",173446.103,68501.687,72469.969,160984.493,12487.767,1194.464,14442.4645,14442.4645,518298.763
"80",257561.226,69004.181,70419.169,81695.145,12245.136,2848.757,12562.136,12562.136,519329.311
"81",239896.043,55203.151,45651.694,37844.388,10047.868,2874.058,13691.565,13691.565,419426.723
"82",190859.296,42556.729,27936.013,49054.729,9134.299,2809.865,14954.476,14954.476,352761.426
"83",128513.947,27172.975,28760.522,98892.425,6297.325,3330.281,13874.806,13874.806,321304.862
"84",137717.301,19439.288,20411.356,97225.686,5905.565,3776.086,8548.0965,8548.0965,302198.007
"85",-3177.348,25163.324,21825.088,247428.456,5934.386,4038.097,9261.923,9261.923,320308.149
"86",-1357.415,20211.247,17386.635,226173.81,8736.128,3744.991,6095.533,6095.533,287507.36
"87",-1701.627,15845.757,18912.103,223688.28,9208.55,3475.991,10531.687,10531.687,291052.369
"88",-1684.542,18686.546,9921.75,190731.783,10827.855,2759.617,4815.29,4815.29,241130.707
"89",-1802.096,20180.29,9512.925,192660.736,12909.149,2681.413,5365.594,5365.594,247228.55
"90",-1280.83,17902.134,15970.385,191225.995,12248.321,2596.936,14316.092,14316.092,267575.308
"91",-1119.569,32575.167,33700.388,258526.466,12754.592,2331.932,10772.0165,10772.0165,360586.89
"92",-1126.831,50813.603,37145.945,260887.706,12079.867,1922.374,10810.6415,10810.6415,383602.905
"93",68615.077,26494.543,15232.726,135308.918,10546.029,2047.806,14376.298,14376.298,287190.28
"94",69531.804,17677.692,8933.627,141135.882,9724.975,2333.356,6238.7215,6238.7215,262169.989
"95",18689.83,18608.251,10474.845,185015.245,6760.523,2521.382,12812.825,12812.825,268113.716
"96",78075.038,22109.065,11540.551,159353.569,6736.717,3369.288,8605.2265,8605.2265,298720.995
"97",-632.692,27196.95,18542.487,260272.045,8589.705,4065.943,7151.5275,7151.5275,332673.213
"98",-606.159,18940.327,7665.76,187465.463,9513.097,3641.699,10723.705,10723.705,248303.968
"99",-651.559,14238.515,13135.553,217478.648,13295.219,3995.499,10093.0875,10093.0875,282121.952
"100",-591.361,18127.456,8307.292,208530.593,14715.46,3220.881,7539.3055,7539.3055,267789.341
"101",-1103.416,21292.151,7704.742,203812.516,22208.132,2571.581,6023.664,6023.664,268841.134
"102",41953.424,41481.223,18862.038,240611.174,21169.705,3062.163,13481.942,13481.942,394298.272
"103",9292.719,59750.929,27349.31,408794.449,22969.893,4085.694,11473.026,11473.026,555391.214
"104",-728.756,64925.801,38115.422,437913.783,21414.781,3930.927,13319.9895,13319.9895,592497.631
"105",-549.974,54894.998,38682.189,367240.808,17676.382,4258.279,11972.5045,11972.5045,506503.521
"106",-583.277,41696.063,18871.456,312103.406,16811.54,4173.934,6414.6,6414.6,406415.129
"107",-582.067,21566.173,15480.57,305437.515,8817.892,1412.168,13868.3715,13868.3715,380170.434
"108",-614.248,26795.768,11539.384,332591.201,11153.282,3518.908,8866.093,8866.093,403048.193
"109",-627.467,31928.664,14287.952,350086.611,14437.344,3401.005,9871.15,9871.15,433757.291
"110",-580.127,27287.796,12016.398,298622.585,17860.307,3068.407,5441.4375,5441.4375,369667.433
"111",-668.873,26627.29,16590.53,331001.335,13720.819,3993.204,9663.32,9663.32,411220.586
"112",-605.483,38583.128,16923.745,307429.032,22448.584,1838.677,7805.005,7805.005,402632.796
"113",-1030.237,43134.307,26908.512,317555.955,27351.011,1946.125,11846.1975,11846.1975,439885.186
"114",29141.857,52984.196,32914.068,367587.881,29267.84,1536.342,13186.323,13186.323,539977.468
"115",50189.168,61726.427,59770.275,396959.791,33069.572,1171.973,16160.6655,16160.6655,635333.954
"116",5265.315,64896.77,67572.284,456377.207,29681.865,51.334,13672.3105,13672.3105,651278.369
"117",-603.806,36801.353,56444.971,377073.827,25097.79,2037.313,13581.6645,13581.6645,524099.461
"118",-613.232,18070.983,42597.77,297321.31,23675.008,1826.864,11230.755,11230.755,405440.058
"119",-588.118,9281.952,23111.573,234479.855,17328.648,2552.667,10188.828,10188.828,306654.62
"120",-626.792,2210.44,26769.899,251184.961,15536.158,2940.637,10413.6255,10413.6255,319020.642
"121",-727.718,5017.929,49385.1,236334.141,18539.918,3038.412,7361.8245,7361.8245,326626.209
"122",-706.973,15008.727,32328.427,250507.491,22493.357,2984.732,9829.886,9829.886,342600.258
"123",-518.34,6219.292,34532.92,233282.42,35809.481,3526.269,9637.882,9637.882,332469.361
"124",-608.66,7134.449,29442.58,207738.203,38896.29,3596.471,10657.33,10657.33,307721.658
"125",-832.969,12707.01,35218.072,231475.462,34459.224,3463.06,12228.6005,12228.6005,341341.116
"126",3179.956,20755.148,56449.231,269550.103,37285.699,3732.949,15597.6535,15597.6535,422344.639
"127",54925.434,57618.449,67064.258,316355.046,41537.353,3179.553,12541.196,12541.196,565955.664
"128",9023.219,64924.531,53415.242,324376.965,44650.032,3674.631,14683.114,14683.114,529598.205
"129",-823.378,32782.569,49271.727,296322.928,34850.726,2995.241,9934.0825,9934.0825,435371.41
"130",-827.249,16979.833,44274.278,247112.684,32549.161,1729.494,10860.91,10860.91,363589.969
"131",-895.425,5997.498,24187.602,224261.242,24884.706,1996.553,10810.194,10810.194,302177.568
"132",-695.865,5658.661,22604.487,233914.94,21722.789,3843.173,8991.8355,8991.8355,305137.24
