"","Hidráulica","Turbinación bombeo","Nuclear","Ciclo combinado","Eólica","Solar fotovoltaica","Solar térmica","Otras renovables","Cogeneración","Residuos no renovables","Residuos renovables","Generación total"
"1",311475.365,19063.468,2245349.545,646069.108,455873.112,22507.102,710.747,34867.555,532802.731,2045.335,2045.335,4272613.664
"2",337448.878,20410.447,2036273.836,550181.03,364562.733,25276.234,2931,31893.398,490982.728,771.811,771.811,3861296.935
"3",424978.103,31808.783,2239021.643,421091.487,282071.594,34564.476,4283.433,30020.034,529606.157,1201.1585,1201.1585,3999654.045
"4",542396.621,33415.066,1570815.967,285073.67,212203.733,39400.165,4578.625,30947.173,520693.524,2069.0565,2069.0565,3243396.029
"5",776776.085,17555.141,1557879.148,366618.461,295183.422,46821.744,8143.86,29240.883,552680.063,2176.0345,2176.0345,3655078.796
"6",768317.037,15255.739,2134943.797,293664.624,195391.648,49787.375,9164.759,29864.526,506757.228,2130.0205,2130.0205,4007253.673
"7",645438.269,12254.558,2219436.117,539951.313,166577.716,51654.7,9888.303,32852.414,514725.569,3858.868,3858.868,4200343.173
"8",432292.183,14538.133,2190637.273,478153.095,182283.14,45474.877,9490.7,26685.183,438340.724,4112.5995,4112.5995,3825977.313
"9",336689.391,12720.395,2142260.189,486677.568,192182.492,40825.343,8321.493,25428.026,488743.02,4648.234,4648.234,3743018.14
"10",241325.183,11348.264,2137074.25,518052.052,199244.042,32229.524,6852.981,28862.988,433364.156,5143.9005,5143.9005,3618507.432
"11",285136.975,24766.458,1428444.311,455592.164,426781.819,24463.068,5983.52,27629.86,422704.716,4686.4835,4686.4835,3110739.507
"12",292440.145,32012.483,1792185.624,608482.931,222371.217,18387.228,3468.589,27651.869,484909.033,4847.342,4847.342,3491451.286
"13",350750.472,37561.696,2229470.917,384296.97,318156.911,19042.458,3609.15,26278.179,501846.001,4596.6865,4596.6865,3880057.388
"14",351694.374,32519.64,2046015.667,303727.069,285867.63,25301.624,2773.205,16982.988,399890.509,3652.4005,3652.4005,3471936.5
"15",436393.391,22862.66,2260436.522,290942.537,291272.31,38801.662,4267.442,14382.75,366402.771,2489.8165,2489.8165,3730600.778
"16",613504.006,28285.391,2156946.906,324120.323,257345.436,42763.39,5681.085,11454.096,316764.061,8012.044,8012.044,3772771.936
"17",625655.467,23014.181,1539397.055,345439.376,245320.451,45444.802,5528.553,15578.834,362050.473,10385.627,10385.627,3228090.596
"18",583247.167,17674.552,1439306.839,453750.552,211434.991,46714.359,9440.36,15653.268,383124.271,5285.974,5285.974,3170876.068
"19",534904.698,7363.303,1998149.051,444858.547,256075.258,48382.871,10767.99,11276.235,378324.024,8555.5035,8555.5035,3707172.249
"20",402845.802,8025.314,1765657.156,483573.982,170561.195,42495.712,6808.608,11176.936,358043.814,9685.9855,9685.9855,3268522.937
"21",337369.867,2840.688,1955584.878,515154.375,96594.129,33454.642,6253.075,11712.4,385888.954,9660.559,9660.559,3364137.041
"22",248724.428,16375.843,2153149.125,483366.559,127398.455,33115.377,7666.007,12744.242,389068.814,11099.6025,11099.6025,3493787.506
"23",243791.593,31481.896,1452418.111,480784.328,225254.865,18917.64,2521.233,11806.178,367337.025,11763.072,11763.072,2857839.013
"24",502150.852,41091.468,1745646.825,478724.724,381852.335,18941.764,495.487,11032.803,382340.967,12682.266,12682.266,3587641.757
"25",374907.888,38072.762,2214169.982,564853.85,361144.539,21770.057,1137.14,15376.211,411771.521,12264.827,12264.827,4027733.604
"26",320901.906,34612.062,2001868.496,445929.847,326778.044,27110.699,5312.47,12305.858,361273.657,10962.81,10962.81,3558018.659
"27",464257.318,36799.315,2269414.218,474765.919,321617.1,35614.869,6444.695,11592.293,395790.021,10096.2815,10096.2815,4036488.311
"28",530392.204,37004.809,1949231.43,487926.52,193089.761,44487.171,6780.383,11913.719,376262.189,8104.821,8104.821,3653297.828
"29",514195.169,36689.081,1469727.934,537324.188,252195.738,49953.635,8977.827,13073.237,366626.99,10801.187,10801.187,3270366.173
"30",529252.884,24447.992,1592170.133,608858.647,148691.394,48256.491,9878.685,16751.846,372936.1,12674.889,12674.889,3376593.95
"31",333211.615,18281.385,2136003.946,778668.303,190637.942,47277.461,9852.272,18227.429,394494.378,12711.1775,12711.1775,3952077.086
"32",328795.925,31373.144,2032327.429,623768.625,199349.053,44460.061,7572.63,17239.072,370800.25,11602.7265,11602.7265,3678891.642
"33",285763.103,1236.759,2146179.045,478314.152,148451.505,35075.773,7534.338,16285.106,400868.585,11935.407,11935.407,3543579.18
"34",236384.948,16086.239,2163393.627,471577.617,173925.483,28487.976,5897.621,15366.363,417373.625,10993.0695,10993.0695,3550479.638
"35",241613.865,21789.598,1462183.01,599810.419,226357.416,22672.709,4276.883,13542.105,395292.195,11741.762,11741.762,3011021.724
"36",233178.276,24712.575,1855159.687,705087.311,66544.282,15930.055,1926.93,13363.532,414749.183,12655.552,12655.552,3355962.935
"37",240742.787,33807.4,2260528.143,542737.539,288811.455,19332.045,3651.407,13477.744,398619.932,11915.411,11915.411,3825539.274
"38",271960.803,40108.769,1801311.345,472619.087,329986.312,27266.214,1354.593,11253.45,369097.48,10172.277,10172.277,3345302.607
"39",377973.558,30493.735,2224388.97,407996.634,340022.355,36867.002,2932.51,11949.023,397562.436,9444.274,9444.274,3849074.771
"40",471412.261,33398.33,2161537.546,404730.889,242863.156,40329.892,5579.36,11276.334,362133.235,4923.717,4923.717,3743108.437
"41",654293.812,23848.71,1515849.374,480227.335,295098.847,45448.908,8223.579,13880.798,348260.651,10217.503,10217.503,3405567.02
"42",488691.203,6907.435,1935202.672,530074.394,208061.905,48280.484,9312.685,16644.852,369182.672,13149.587,12637.07,3638144.959
"43",326763.879,6188.116,2198399.274,557191.402,197855.131,50598.524,10739.518,14849.522,417071.984,13441.113,13039.276,3806137.739
"44",264075.155,4590.589,2197420.177,510979.037,159415.606,46464.845,10096.152,12784.759,383869.681,12572.794,12413.445,3614682.24
"45",204798.51,4086.882,2136342.032,535883.983,163168.579,37895.061,7360.745,15486.053,384563.988,12424.973,12008.509,3514019.315
"46",157408.573,8903.275,2111495.59,864335.863,104706.007,24802.3,6481.341,18094.787,422875.773,12969.9875,12639.2885,3744712.785
"47",219798.607,19923.41,1424950.536,805228.122,221529.448,20485.053,3315.307,17615.255,421794.932,12915.4195,12670.5255,3180226.615
"48",261055.415,11553.397,1748087.982,824889.484,132418.819,15828.428,1272.23,16713.661,414158.42,12311.826,11962.622,3450252.284
"49",254323.473,15297.05,2254940.523,652443.5,297735.172,19987.989,6716.683,19754.85,447559.94,12462.8685,12355.8325,3993577.881
"50",302696.275,15658.11,2048896.429,415653.322,231512.794,22714.911,6497.644,16936.055,389601.338,11606.183,11451.37,3473224.431
"51",443939.344,16056.522,2269692.115,468795.008,207613.502,38070.897,6883.499,18472.329,429843.132,11052.0295,10936.3555,3921354.733
"52",454565.571,9782.032,2136286.868,408858.215,186958.664,44661.091,2879.767,16143.594,415103.404,11502.0235,11047.5685,3697788.798
"53",540087.781,7024.96,1769069.811,470398.04,221781.185,48262.63,10174.122,17343.621,425253.65,6219.237,5917.973,3521533.01
"54",431167.398,2984.532,1508643.088,794948.841,195206.479,46442.188,9165.215,16537.281,421478.308,12971.6145,12849.9825,3452394.927
"55",294266.028,3325.611,2195830.168,784671.627,238300.534,46684.588,10678.555,14192.137,428104.141,12588.2835,12552.7565,4041194.429
"56",266007.654,2090.433,2190028.612,754994.873,203504.973,41628.399,9419.418,10687.996,407238.177,13017.1565,12865.4625,3911483.154
"57",230861.34,4719.311,2129959.767,621062.027,187790.563,35634.536,6974.969,12000.878,403550.373,12955.323,12741.18,3658250.267
"58",177421.989,4917.642,2070537.311,823516.263,183361.826,33054.108,8305.011,15124.019,429536.167,13094.477,12639.514,3771508.327
"59",139349.353,9924.066,1455435.635,1008956.956,293565.749,26052.645,5365.172,13818.337,430247.55,13254.4695,12582.3055,3408552.238
"60",163784.623,21764.937,2187001.107,680420.719,377792.793,17610.808,4136.15,15627.119,459217.609,14485.407,13455.28,3955296.552
"61",245093.447,16566.886,2265984.607,604248.518,368720.504,21162.608,6299.366,17683.254,480460.154,13915.117,13240.183,4053374.644
"62",246563.883,1938.931,2052451.913,564689.677,289009.675,21451.94,6183.41,17132.436,383073.569,12186.293,11320.563,3606002.29
"63",416163.444,15060.858,1485474.68,462645.614,379380.028,34281.471,6450.275,15759.026,422172.637,12741.8855,11818.8965,3261948.815
"64",624780.412,5057.92,1431154.691,422834.245,191760.503,36997.679,4435.447,14406.403,442130.977,12993.0275,12707.3205,3199258.625
"65",773600.547,4809.434,1378356.068,570222.506,205877.187,39693.314,5734.24,17030.203,449288.182,5521.6435,4634.3575,3454767.682
"66",786277.592,1901.585,1312219.648,582066.838,159870.289,43466.441,9905.931,15413.063,434841.363,8332.2745,7663.1145,3361958.139
"67",532524.933,1460.678,1513400.045,650222.144,176182.011,47692.976,10732.236,12199.015,443404.288,9403.727,8953.289,3406175.342
"68",355786.184,124.453,2207061.01,625943.37,153850.155,42075.264,10133.222,10156.507,436732.605,10149.1205,9790.2975,3861802.188
"69",294590.72,411.404,2139159.436,567469.929,97863.571,35722.958,6345.16,12423.973,433599.544,9951.8285,9590.8065,3607129.33
"70",289776.639,3956.322,2231071.339,563385.397,230296.137,27253.382,2617.758,12619.649,464390.953,10486.043,9871.243,3845724.862
"71",445774.3,2746.019,1641929.026,807140.813,181991.77,17829.892,3387.805,13074.031,465074.055,9659.4905,8774.2485,3597381.45
"72",368330.601,339.386,1341054.992,715734.181,274667.049,16737.469,4380.775,12763.858,460198.681,12542.2325,11689.6935,3218438.918
"73",254632.493,4316.877,2146622.714,865749.671,445534.857,21726.082,5874.725,13917.103,503862.814,11810.245,11091.128,4285138.709
"74",280915.127,7170.201,2052010.092,556391.699,207713.901,31230.84,1035.487,12452.348,430492.715,11245.7755,10639.2895,3601297.475
"75",264679.209,9313.754,2261924.122,419640.103,250175.771,40875.503,1918.208,13688.895,490411.15,11844.0425,11289.9715,3775760.729
"76",270286.976,8928.449,1711448.886,428561.394,279090.639,35191.025,1477.3,12866.424,457167.984,10944.8835,10447.6145,3226411.575
"77",438949.715,9276.777,1511516.734,894388.78,279622,45676.235,843.782,13862.238,471897.257,12823.3635,12361.7185,3691218.6
"78",392444.259,3121.326,1998116.517,847859.291,247086.79,46375.775,4624.362,12126.052,441520.071,13297.9875,12849.0695,4019421.5
"79",276233.133,2779.906,2166771.464,1165908.414,187509.829,45638.895,5060.603,12711.861,431274.278,11869.658,11536.793,4317294.834
"80",240480.068,2552.563,2130627.485,1027329.55,149956.649,43242.737,4279.313,10855.451,435027.441,12501.732,12342.151,4069195.14
"81",205774.283,3548.182,2137960.872,728184.743,138090.687,36455.069,3149.447,12213.085,428899.309,12854.344,12119.707,3719249.728
"82",213406.628,5045.153,2232626.46,671223.566,195757.836,28034.752,355.775,12831.909,432616.941,12011.6595,11017.9505,3814928.63
"83",225881.229,10792.26,1621298.269,587976.626,369782.23,21830.874,190.153,14060.319,439482.258,10617.304,9790.189,3311701.711
"84",412861.014,27627.507,1589595.601,570325.146,302556.81,14581.572,47.08,13826.638,420540.271,12090.0665,11292.4535,3375344.159
"85",434119.206,17582.049,2266619.444,582992.295,178517.73,16434.865,31.505,13158.289,469658.592,12329.783,11806.765,4003250.523
"86",406285.139,14536.458,2112266.835,390951.743,235595.27,27740.567,1114.092,13172.481,421282.414,12719.0535,11834.4105,3647498.463
"87",500662.199,16376.638,2242393.418,195797.633,286130.731,28960.839,1226.105,11537.489,411562.461,8480.3055,7898.5705,3711026.389
"88",613669.748,23083.749,1964965.272,281562.386,161111.147,33063.956,1482.45,13844.861,369995.56,7590.0725,6711.3275,3477080.529
"89",685757.911,14823.166,1450520.478,317413.284,186869.432,42802.705,2686.31,14437.161,371655.567,7279.785,6761.634,3101007.433
"90",599007.761,10238.904,1917997.468,368064.159,176770.227,41820.541,6571.4,11425.319,388378.671,5654.288,4998.059,3530926.797
"91",387663.473,8487.889,2213581.942,633896.722,172086.175,46636.543,10046.567,11850.395,431122.686,5373.375,4839.04,3925584.807
"92",258781.222,8030.533,2202349.705,602438.871,171917.919,41982.718,10316.168,12464.771,432913.51,11773.722,11427.857,3764396.996
"93",269449.295,12196.219,1990935.958,555574.065,173345.412,35251.004,9085.433,11899.34,445686.473,12817.478,12196.599,3528437.276
"94",328697.622,11775.092,1537970.484,546365.986,310970.245,30117.976,5682.275,12274.596,461891.782,12966.7595,12337.6565,3271050.474
"95",328941.025,14374.579,1726282.891,503176.429,134851.803,18316.33,7080.435,12825.618,459377.95,11932.3135,11418.4185,3228577.792
"96",322965.905,23477.841,2261015.744,285146.331,367808.354,16917.896,4573.995,12766.293,448269.337,13598.6065,12909.6685,3769449.971
"97",304809.796,22696.6,2230948.23,376805.035,393973.253,19291.117,5151.617,13330.861,480548.643,13320.864,12854.714,3873730.73
"98",281952.551,29917.778,1936562.958,174256.025,231861.484,19914.449,4460.225,12206.882,320643.617,11176.175,10500.627,3033452.771
"99",313921.572,21487.046,2266148.801,223948.722,221698.637,35125.996,7944.003,14986.555,421965.616,7463.388,6547.72,3541238.056
"100",306887.187,5560.402,1931164.27,376023.753,162255.465,33403.295,6473.49,14087.915,384335.832,12553.0205,11953.6745,3244698.304
"101",424622.167,16318.121,1785836.493,327533.607,203431.583,43464.383,6657.92,12137.501,374360.588,14322.106,13551.725,3222236.194
"102",396508.174,7958.452,1384081.198,482977.76,151007.973,41692.932,9631.26,11316.538,370379.152,13402.405,12739.654,2881695.498
"103",256177.832,6782.128,2212781.675,359794.076,222029.968,46367.863,9023.407,11798.21,383542.38,13642.327,12990.662,3534930.528
"104",240942.055,9330.536,2199375.176,349389.919,171972.542,40925.991,9704.384,10659.251,367106.589,12337.95,12137.019,3423881.412
"105",224538.47,3390.178,2129516.873,540128.542,130254.146,31712.706,8364.173,12685.698,359650.094,12121.8865,11684.6345,3464047.401
"106",172299.286,11186.467,1822303.317,463247.045,125566.86,30396.481,8961.755,13878.846,374336.849,13172.7015,12451.9085,3047801.516
"107",141040.659,13421.354,1419282.214,635415.227,313649.077,20273.577,6788.279,13053.68,368379.888,10832.206,10471.526,2952607.687
"108",317869.122,21030.376,2067036.768,523523.778,306349.158,16719.041,4233.212,14790.403,359590.247,13035.064,12481.301,3656658.47
"109",249639.308,10776.135,2273443.358,487183.215,239893.722,25649.303,5620.883,13960.149,369364.092,12065.8195,11316.8495,3698912.834
"110",162486.441,6735.721,2046105.759,400168.651,259317.577,25663.87,7089.632,12800.387,392557.166,11511.8535,11036.1315,3335473.189
"111",205283.117,12267.046,2257947.538,378864.703,226302.151,19813.657,5882.539,14710.573,415798.051,12807.8135,12279.0475,3561956.236
"112",317340.727,19585.011,1940361.117,383539.269,247485.523,38110.98,4551.84,13766.723,325321.192,12535.03,12081.13,3314678.542
"113",451514.711,16199.318,1507673.003,526800.376,192078.108,46228.133,3582.845,15533.888,344422.343,13444.98,13163.442,3130641.147
"114",291586.307,13454.707,2093359.679,867341.052,188191.519,44476.84,9945.088,12632.942,293530.29,12087.1205,11702.8415,3838308.386
"115",201674.569,25145.488,2132956.93,1084284.794,182630.188,45760.033,10638.86,12976.322,207826.487,13637.21,13348.626,3930879.507
"116",201303.02,33766.126,2175369.392,950864.273,163448.55,42253.015,9692.609,12003.98,136049.699,11464.512,11329.85,3747545.026
"117",164623.024,34284.773,2110802.936,993927.693,193910.912,33806.319,5161.065,11990.759,169573.696,12932.671,12251.319,3743265.167
"118",153051.995,31265.176,1766545.66,845948.897,138131.922,26626.248,2563.998,14302.012,242717.403,7810.542,7046.403,3236010.256
"119",142843.418,25391.699,1461076.269,481258.377,264184.792,20428.355,1122.372,13551.121,315852.2,10741.0865,10311.6265,2746761.316
"120",136507.065,40194.226,2219242.177,529681.121,159021.89,15863.554,1801.13,13579.474,194654.755,13038.254,12189.838,3335773.484
"121",132811.411,36781.72,2205761.438,321635.622,360027.809,21932.359,1865.51,13025.421,230412.011,12362.842,11749.521,3348365.664
"122",129045.461,14996.237,1875854.742,482489.167,176087.718,26260.1,2539.488,13583.286,355552.996,10629.292,9930.915,3096969.402
"123",212698.533,33183.813,2128613.498,372505.979,319591.217,38272.04,4269.642,14146.705,349213.435,10853.544,10273.25,3493621.656
"124",195938.463,42090.764,2059253.247,293914.985,285965.507,42919.785,6822.768,12509.066,315420.722,11898.6795,11279.4435,3278013.43
"125",226072.552,21532.477,1509247.156,530200.869,227843.445,41673.174,7760.805,11226.871,357994.169,12383.0225,11885.6765,2957820.217
"126",290637.516,16681.685,1687285.585,615910.791,134959.162,38149.885,8269.108,10760.459,368444.902,13209.303,12548.693,3196857.089
"127",207389.841,17987.078,2174998.565,538231.159,222165.521,43107.446,9473.672,10674.998,301769.107,12844.643,12419.584,3551061.614
"128",167459.469,20792.793,2102997.837,623777.306,297116.369,43106.479,8475.34,9053.241,291092.128,12193.0575,11885.8405,3587949.86
"129",124291.725,23773.998,1787566.289,485531.368,195907.177,34457.816,1236.758,9020.382,323969.612,13038.3355,12344.8345,3011138.295
"130",116441.445,7978.776,1478405.473,592948.849,189130.316,28556.887,4969.778,9714.407,273206.212,12713.8975,11792.7355,2725858.776
"131",152482.463,37120.811,1381672.73,558858.295,337405.672,22159.897,5306.025,9281.917,202609.274,12552.0475,11949.3925,2731398.524
"132",250042.005,37864.437,1976442.392,410191.698,329660.784,18616.707,4959.8,9863.737,236589.852,12900.6955,12398.1835,3299530.291
